Game	Achievement	Rate
38830	|achievement_20204|	8.49
38830	|achievement_70283|	8.08
38830	|achievement_20206|	8.05
38830	|achievement_20205|	8.10
38830	|achievement_110320|	8.05
38830	|achievement_5|	8.06
38830	|new_achievement_2_15|	0.00
38830	|new_achievement_2_14|	0.00
38830	|achievement_20047|	8.89
38830	|new_achievement_2_13|	0.00
38830	|new_achievement_2_12|	0.00
38830	|achievement_70296|	8.06
38830	|new_achievement_2_11|	0.00
38830	|achievement_120403|	3.16
38830	|new_achievement_2_10|	0.00
38830	|achievement_120402|	3.22
38830	|achievement_120401|	3.37
38830	|achievement_120400|	8.10
38830	|achievement_70292|	9.46
38830	|achievement_120407|	3.15
38830	|achievement_120406|	3.21
38830	|achievement_120405|	3.34
38830	|achievement_120404|	3.14
38830	|achievement_100332|	8.08
38830	|achievement_100335|	8.06
38830	|achievement_120408|	3.14
38830	|achievement_60280|	8.57
38830	|achievement_60284|	8.06
38830	|achievement_60285|	8.99
38830	|achievement_60289|	8.06
38830	|achievement_120388|	8.77
38830	|achievement_140402|	9.68
38830	|achievement_20076|	8.60
38830	|new_achievement_2_16|	0.00
38830	|achievement_20077|	8.33
38830	|new_achievement_2_17|	0.00
38830	|achievement_20078|	8.19
38830	|achievement_20079|	8.14
38830	|achievement_50214|	8.06
38830	|achievement_50213|	8.10
38830	|achievement_20075|	10.60
38830	|achievement_20028|	12.02
38830	|achievement_70279|	9.03
38830	|achievement_120397|	26.92
38830	|achievement_20029|	8.91
38830	|achievement_30125|	8.07
38830	|achievement_120398|	9.08
38830	|achievement_30124|	8.09
38830	|achievement_120399|	8.24
38830	|achievement_30123|	8.09
38830	|achievement_120393|	8.11
38830	|achievement_20068|	8.19
38830	|new_achievement_2_9|	0.00
38830	|achievement_20069|	8.11
38830	|achievement_20030|	8.35
111600	|ach_exterminator_sam|	6.33
111600	|ach_golden_boy|	1.61
111600	|ach_i_heard_you_like_parallax|	11.04
111600	|ach_gnaar_bodys_fool|	32.35
111600	|ach_time_to_eat_the_doughnuts|	26.87
111600	|ach_speed_runner|	4.54
111600	|ach_seriously_tough|	4.20
111600	|ach_treasure_seeker|	24.91
111600	|ach_red_light_rendezvous|	8.46
111600	|ach_perfectly_perfect|	1.37
111600	|ach_ceiling_slaughter|	2.73
111600	|ach_white_men_can_jump|	36.95
111600	|ach_skeletons_in_closet|	15.07
111600	|ach_quad_power|	6.16
111600	|ach_untouchable_sam|	1.80
111600	|ach_unflinching_sam|	45.17
111600	|ach_seriously_unstoppable|	1.47
111600	|ach_fully_stacked|	30.63
111600	|ach_tomb_looter|	7.92
