Game	Achievement	Rate
102220	|achievement_warghul|	0.00
102220	|achievement_damage2|	0.02
102220	|achievement_damage3|	0.01
102220	|achievement_warden|	0.00
102220	|achievement_damage1|	1.03
102220	|achievement_loot3|	0.01
102220	|achievement_treasures1|	0.08
102220	|achievement_loot1|	40.74
102220	|achievement_loot2|	0.15
102220	|achievement_diehard3|	0.05
102220	|achievement_diehard2|	0.31
102220	|achievement_nithing|	0.00
102220	|achievement_diehard1|	23.47
102220	|achievement_all_battles|	0.00
102220	|achievement_wyrd_sister|	0.00
102220	|achievement_power3|	0.01
102220	|achievement_hpleft1|	1.56
102220	|achievement_power2|	0.03
102220	|achievement_powercards|	0.01
102220	|achievement_power1|	4.23
102220	|achievement_streak1|	16.79
102220	|achievement_berendur|	0.00
102220	|achievement_discovery|	0.00
102220	|achievement_streak2|	0.73
102220	|achievement_finished|	0.00
102220	|achievement_cardmaster1|	8.95
102220	|achievement_gullveig|	0.00
102220	|achievement_cardmaster2|	1.46
102220	|achievement_streak3|	0.16
102220	|achievement_cardmaster3|	0.47
102220	|achievement_allies|	0.00
102220	|achievement_pokerface3|	0.33
102220	|achievement_pokerface1|	49.87
102220	|achievement_collector|	0.00
102220	|achievement_pokerface2|	13.25
520	|tf_spy_medic_healing_kill_enemy|	2.56
520	|tf_spy_fast_cap|	3.05
520	|tf_scout_kill_charged_medics|	3.23
520	|tf_get_headshots|	6.36
520	|tf_spy_backstab_dominating_enemy|	5.70
520	|tf_sniper_headshot_post_invuln|	2.09
520	|tf_sniper_kill_failed_spy|	3.02
520	|tf_medic_assist_soldier|	1.78
520	|tf_scout_survive_damage|	4.51
520	|tf_sniper_achieve_progress1|	8.40
520	|tf_sniper_achieve_progress2|	4.91
520	|tf_sniper_headshot_snipers|	6.25
520	|tf_sniper_dominate_sniper|	7.09
520	|tf_engineer_freezecam_sentry|	9.18
520	|tf_sniper_achieve_progress3|	3.27
520	|tf_soldier_nemesis_shovel_kill|	2.06
520	|tf_pyro_burn_medics_charged|	3.16
520	|tf_scout_long_distance_runner|	29.48
520	|tf_heavy_earn_medic_domination|	4.54
520	|tf_pyro_camp_teleporters|	2.24
520	|tf_medic_simul_charge|	1.94
520	|tf_spy_backstab_capping_enemies|	2.13
520	|tf_pyro_kill_grind_large|	1.99
520	|tf_spy_ambassador_scout_grind|	2.33
520	|tf_sniper_kill_grind|	1.93
520	|tf_spy_sapper_grind|	1.76
520	|tf_scout_knock_into_train|	3.32
520	|tf_demoman_destroy_buildings_with_medic|	1.86
520	|tf_medic_bonesaw_medics|	2.03
520	|tf_pyro_kill_spies|	2.12
520	|tf_pyro_destroy_buildings|	2.38
520	|tf_soldier_kill_with_equalizer_while_hurt|	1.93
520	|tf_heavy_freezecam_taunt|	1.77
520	|tf_sniper_bow_pin_heavy|	3.24
520	|tf_pyro_simulburn_scouts|	6.98
520	|tf_medic_assist_heavy_long|	2.61
520	|tf_mvm_demo_group_kill|	0.54
520	|tf_replay_youtube_views_highest|	1.59
520	|tf_win_hydro_noenemycaps|	3.01
520	|tf_replay_save_replay|	3.09
520	|tf_engineer_help_build_structure|	7.85
520	|tf_engineer_building_carry|	2.27
520	|tf_heavy_kill_shotgun|	3.07
520	|tf_spy_backstab_engy_sap_building|	2.35
520	|tf_demoman_kill_x_heavies_fullhp_onedet|	2.02
520	|tf_heavy_kill_crit_punch|	6.05
