Game	AchCount
209670	0
2200	0
15710	0
38830	55
17570	0
1309	0
28050	0
12200	0
17470	0
40800	0
320	0
72740	0
111600	30
6860	0
1300	0
24780	0
63600	0
520	0
111400	58
90530	85
2330	0
10700	0
30	0
20900	0
730	193
2430	0
10090	0
48000	13
92600	46
2210	0
18520	0
18521	0
7730	0
49400	21
15520	7
9860	0
38720	25
200190	10
63200	54
1313	0
72200	23
20	0
12210	0
25010	0
93200	81
2320	0
92000	13
19200	29
48160	0
3730	0
113420	650
209690	95
8850	0
209790	23
55100	49
102600	0
300	55
42910	0
2300	0
3830	37
8230	0
2590	0
9180	0
2310	0
108500	20
10	0
12220	0
500	73
34010	0
400	0
19900	0
3590	0
3720	0
70600	38
40930	0
9880	717
15540	1
11340	25
18500	79
6060	0
33460	0
72730	0
22650	13
35480	33
40100	47
26900	0
47830	0
211880	0
38700	37
18508	0
73030	0
15740	37
18700	30
18509	0
70400	0
99900	0
2810	0
35700	0
2100	0
100	0
41800	0
4550	0
9060	0
41700	0
63700	27
41010	70
9480	0
113200	0
15750	0
18110	0
420	22
17330	0
205930	0
21660	0
70	0
2370	0
18040	12
206210	0
13520	0
35460	33
570	0
7770	0
34830	24
72910	0
9050	0
65300	1
4540	0
200710	0
9200	67
61100	12
70120	9
22370	0
113400	0
215220	0
60	0
12250	0
17340	0
2360	0
18050	13
96200	0
42680	76
2550	0
7660	0
21110	0
22180	0
207610	0
440	450
204060	18
7760	0
200210	0
70110	0
22380	76
207170	41
12120	0
17080	0
20820	31
50	5
2545	0
2350	0
35420	0
7650	0
550	69
38740	54
2540	0
11200	0
42690	0
105600	0
13500	0
2130	0
41000	36
32460	12
38600	30
63710	0
201830	0
3970	0
41500	0
26800	12
9070	0
55230	0
70100	0
15500	11
2340	0
21120	0
130	0
41100	0
33320	0
65800	92
8500	0
40	0
17020	0
12900	19
1280	0
17300	0
2630	0
216690	0
41050	0
104200	0
7940	0
8190	0
204100	0
212160	0
10680	50
7670	0
11280	12
1510	0
31290	0
2640	0
17500	0
201230	0
2280	0
9030	0
94520	0
49470	46
55040	42
22300	0
29570	0
94000	0
41060	0
209870	0
260	0
92800	20
34270	0
17700	0
13530	0
8930	247
1500	0
24960	0
9040	0
2290	0
13140	0
65790	0
40700	0
47780	0
21960	0
94530	0
6000	0
21690	0
1900	0
35140	0
9420	0
42710	0
22470	0
104700	54
12160	0
2390	0
94200	42
9350	0
63660	0
9900	0
17710	0
94500	0
107800	0
16450	0
35720	97
9010	0
47790	0
19840	0
23310	0
36630	0
17520	2
2620	0
35130	12
36620	0
380	0
42700	0
45740	0
4000	30
1250	204
80	0
280	0
63650	0
31280	24
2270	0
9160	0
94510	0
25700	17
105430	0
19830	0
24420	27
40720	0
17510	0
19020	12
91700	102
13580	0
200510	60
70300	0
63640	0
107200	48
9500	11
26500	18
107300	0
7110	0
6310	0
35500	0
630	66
10180	50
15700	0
22350	44
24120	0
33220	0
6910	0
11240	40
207320	33
107400	0
21090	0
39000	0
203850	0
63630	0
91310	0
99700	0
220	33
6300	0
107310	0
360	0
1840	1
10195	0
10196	0
209830	0
10190	0
1230	29
620	0
57510	0
11370	0
46520	40
2400	0
99300	16
9000	0
201280	10
17530	26
24130	0
200900	76
48180	0
6920	0
2500	0
32390	0
63620	0
115110	21
99810	0
91200	0
212840	0
29720	0
207690	0
57300	0
12310	0
72850	65
200910	21
8880	0
22600	60
200390	43
1530	12
22230	23
39530	0
8980	80
24240	59
32360	0
9940	12
240	148
207420	20
63610	0
107100	0
6120	12
39120	0
45700	0
1002	0
340	0
1200	44
29180	11
98800	125
107900	49
6850	0
102700	76
12520	0
22000	8
1520	22
6900	0
57900	0
32370	0
