User	Achievement	Rate
~elfenleid~	~gun_game_smg_kill_knifer~	8.68
~elfenleid~	~base_scamper~	35.55
~elfenleid~	~kill_enemy_low~	58.07
~elfenleid~	~gun_game_kill_knifer~	25.13
~elfenleid~	~win_map_de_sugarcane~	9.94
~elfenleid~	~lossless_extermination~	50.30
~elfenleid~	~born_ready~	33.55
~elfenleid~	~still_alive~	18.05
~elfenleid~	~avenge_friend~	30.76
~elfenleid~	~kill_while_in_air~	22.50
~elfenleid~	~domination_overkills_low~	35.98
~elfenleid~	~kill_when_at_low_health~	35.00
~elfenleid~	~kill_low_damage~	54.35
~elfenleid~	~win_rounds_without_buying~	8.68
~elfenleid~	~kill_enemy_last_bullet~	50.30
~elfenleid~	~revenges_low~	31.33
~elfenleid~	~win_rounds_low~	56.76
~elfenleid~	~dominations_low~	40.98
~elfenleid~	~gun_game_conservationist~	12.09
~elfenleid~	~win_gun_game_rounds_low~	33.00
~elfenleid~	~give_damage_low~	59.82
~elfenleid~	~fast_round_win~	42.10
~elfenleid~	~kill_enemy_reloading~	60.06
~elfenleid~	~portal_beat_game~	46.68
~elfenleid~	~portal_escape_testchambers~	50.19
~elfenleid~	~portal_longjump~	11.10
~elfenleid~	~portal_get_portalguns~	71.44
~elfenleid~	~portal_kill_companioncube~	57.26
~elfenleid~	~portal_hit_turret_with_turret~	45.64
~Humiliator~	~achievement_second_city~	78.08
~Humiliator~	~achievement_unit_promote~	79.36
~Humiliator~	~achievement_ancient_ruin~	82.44
~Humiliator~	~achievement_40~	90.99
~Humiliator~	~achievement_41~	94.01
~Humiliator~	~achievement_32~	36.07
~Humiliator~	~achievement_42~	53.08
~Humiliator~	~achievement_43~	86.80
~Humiliator~	~achievement_30~	59.54
~Humiliator~	~achievement_22~	60.55
~Humiliator~	~achievement_18~	81.02
~Humiliator~	~achievement_28~	93.97
~Humiliator~	~achievement_19~	78.95
~Humiliator~	~achievement_29~	73.52
~Humiliator~	~achievement_16~	55.41
~Humiliator~	~achievement_17~	86.32
~Humiliator~	~achievement_23~	92.30
~Humiliator~	~achievement_24~	62.84
~Humiliator~	~achievement_26~	62.80
~Humiliator~	~achievement_46~	92.10
~Humiliator~	~achievement_45~	67.78
~Humiliator~	~achievement_36~	77.80
~Humiliator~	~achievement_47~	88.05
~Humiliator~	~achievement_8~	78.17
~Humiliator~	~achievement_39~	94.00
~Humiliator~	~portal_get_portalguns~	71.44
~Humiliator~	~portal_hit_turret_with_turret~	45.64
~Humiliator~	~ach.laser~	70.16
~Humiliator~	~ach.trivial_test~	51.53
~Humiliator~	~ach.bridge~	64.66
~Humiliator~	~ach.wheatley_tries_to~	48.64
~Humiliator~	~ach.reenter_test_chambers~	36.49
~Humiliator~	~ach.wake_up~	71.16
~Humiliator~	~ach.survive_container_ride~	75.42
~Humiliator~	~ach.not_the_droid~	45.75
~Humiliator~	~ach.shoot_the_moon~	48.14
~Humiliator~	~ach.white_gel~	52.70
~Humiliator~	~ach.no_boat~	15.40
~Humiliator~	~ach.addicted_to_spuds~	55.14
~Humiliator~	~ach.stalemate_associate~	59.09
~Humiliator~	~ach.break_out~	59.83
~Humiliator~	~ach.blue_gel~	56.92
~Humiliator~	~ach.a3_doors~	10.94
~Humiliator~	~ach.portrait~	17.79
~Humiliator~	~ach.orange_gel~	53.90
~Humiliator~	~ach.tractor_beam~	49.41
~jediwannabe~	~spear~	28.69
~jediwannabe~	~all_campaign~	18.73
~jediwannabe~	~alien_4~	30.11
~jediwannabe~	~alien_3~	36.47
~jediwannabe~	~alien_2~	53.09
~jediwannabe~	~alien_1~	53.57
~jediwannabe~	~alien_6~	29.25
~jediwannabe~	~predator_3~	40.38
~jediwannabe~	~predator_4~	36.43
~jediwannabe~	~predator_1~	50.57
~jediwannabe~	~marine_1~	57.90
~jediwannabe~	~predator_2~	48.33
~jediwannabe~	~predator_7~	32.86
~jediwannabe~	~marine_3~	38.94
~jediwannabe~	~predator_8~	31.34
~jediwannabe~	~marine_2~	52.24
~jediwannabe~	~predator_5~	34.02
~jediwannabe~	~marine_5~	31.41
~jediwannabe~	~predator_6~	33.31
~jediwannabe~	~marine_4~	38.08
~jediwannabe~	~marine_7~	29.89
~jediwannabe~	~marine_6~	30.83
~jediwannabe~	~marine_8~	29.03
~jediwannabe~	~steam_achievement_1~	65.63
~jediwannabe~	~steam_achievement_11~	70.93
~jediwannabe~	~steam_achievement_2~	42.18
~jediwannabe~	~steam_achievement_5~	45.63
~jediwannabe~	~steam_achievement_6~	41.71
~jediwannabe~	~steam_achievement_15~	74.80
~jediwannabe~	~steam_achievement_14~	71.93
~jediwannabe~	~achievement_13~	36.68
~jediwannabe~	~achievement_4~	76.20
~jediwannabe~	~achievement_1~	87.80
~jediwannabe~	~achievement_2~	66.14
~jediwannabe~	~achievement_8~	51.58
~jediwannabe~	~founddifferentsolution~	57.40
~jediwannabe~	~completealltutorial~	79.06
~jediwannabe~	~hl_rookie~	38.51
~jediwannabe~	~ach_exhibitor~	24.92
~jediwannabe~	~achievement_onehitkill~	76.67
~jediwannabe~	~achievement_win_oda~	9.25
~jediwannabe~	~achievement_policy_freedom~	25.30
~jediwannabe~	~achievement_diflevel_chieftain~	26.06
~jediwannabe~	~achievement_win_bismarck~	9.64
~jediwannabe~	~achievement_1000tiles~	70.54
~jediwannabe~	~achievement_suck_at_wonders~	63.97
~jediwannabe~	~achievement_city_100culture~	31.60
~jediwannabe~	~achievement_golden_age~	76.47
~jediwannabe~	~achievement_mapsize_duel~	13.32
~jediwannabe~	~achievement_policy_patronage~	21.44
~jediwannabe~	~achievement_policy_honor~	41.36
~jediwannabe~	~achievement_drop_nuke~	33.13
~jediwannabe~	~achievement_all_techs~	32.91
~jediwannabe~	~achievement_policy_commerce~	32.28
~jediwannabe~	~achievement_citystate_annex~	54.94
~jediwannabe~	~achievement_citystate_ally~	66.25
~jediwannabe~	~achievement_city_100science~	51.98
~jediwannabe~	~achievement_destroy_civ~	56.23
~jediwannabe~	~achievement_ancient_ruin~	82.44
~jediwannabe~	~achievement_policy_rationalism~	26.19
~jediwannabe~	~achievement_mapsize_small~	23.79
~jediwannabe~	~achievement_round_world~	38.31
~jediwannabe~	~achievement_special_kamikaze~	21.97
~jediwannabe~	~achievement_city_100gold~	45.84
~jediwannabe~	~achievement_second_city~	78.08
~jediwannabe~	~achievement_unit_promote~	79.36
~jediwannabe~	~achievement_policy_liberty~	49.46
~jediwannabe~	~achievement_maptype_earth~	14.41
~jediwannabe~	~achievement_victory_domination~	26.98
~jediwannabe~	~achievement_unit_upgrade~	69.96
~jediwannabe~	~achievement_build_wonder~	72.73
~jediwannabe~	~achievement_unit_embark~	72.37
~jediwannabe~	~l4d_achievement_infected~	56.37
~jediwannabe~	~l4d_achievement_survive_hospital~	44.02
~jediwannabe~	~l4d_achievement_rescue_from_smoker~	72.45
~jediwannabe~	~l4d_achievement_burn_witch~	46.65
~jediwannabe~	~l4d_achievement_no_damage_after_vomit~	67.79
~jediwannabe~	~l4d_achievement_survive_smalltown~	38.91
~jediwannabe~	~l4d_achievement_shove_and_kill_boomer~	37.76
~jediwannabe~	~l4d_achievement_kill_tank_no_damage~	67.14
~jediwannabe~	~l4d_achievement_blow_up_x_infected~	64.40
~jediwannabe~	~l4d_achievement_burn_x_infected~	57.59
~jediwannabe~	~l4d_achievement_rescue_from_closet~	55.71
~jediwannabe~	~l4d_achievement_rescue_self_from_smoker~	68.15
~jediwannabe~	~l4d_achievement_survive_airport~	40.12
~jediwannabe~	~l4d_achievement_incap_after_saferoom~	23.67
~jediwannabe~	~l4d_achievement_headshot_hunter~	44.26
